frame,timestamp,x_cm,y_cm,x_velocity_cm_per_s,y_velocity_cm_per_s,z_particle_velocity_cm_per_s
1543,0.0919276491286638,19.371028037383176,5.593457943925234,-1.3952185962049155,5.2320697357684285,0.294392523364482
1548,0.2607284516209773,19.135514018691588,6.476635514018692,-2.9648395169353834,8.80731738854334,0.6991822429906571
1560,0.6658503776025384,19.871495327102803,12.49696261682243,6.801690656498868,6.540087169710444,1.0036108751062016
1568,0.9359316615902458,21.81448598130841,11.878738317757009,7.613332243714221,-0.3018501770635596,1.204333050127442
1587,1.5773747110610472,0.9126168224299064,0.0883177570093458,1.5623541572086104,-0.3451712672902743,-3.532710280373827
1597,1.9149763160456743,24.47873831775701,12.084813084112149,2.636797049375344,9.82051184531132,-2.368521665250633
1613,2.455138884021089,1.6191588785046729,6.623831775700935,-2.2236296377015363,-0.7412098792338432,-1.7262107051826667
1618,2.6239396865134026,2.0313084112149533,6.800467289719626,1.0464139471536862,0.566807554708247,-4.2954545454545405
1623,2.792740489005716,1.972429906542056,6.815186915887851,-0.3924052301826243,0.2180029056570135,-5.459643160577732
1628,2.961541291498037,1.8988317757009343,6.874065420560748,-0.6976092981024432,0.0872011622628054,-2.5290994052676257
1633,3.1303420939903503,1.7369158878504671,6.844626168224299,-1.8312244075189503,-0.3924052301826325,-2.0239485981308487
1638,3.299142896482664,1.280607476635514,6.741588785046729,-4.3600581131402665,-0.9592127848908594,-2.0975467289719703
1643,3.467943698974985,0.2649532710280374,6.5207943925233645,4.883265086717098,1.351618015073481,-1.2043330501274407
1648,3.636744501467298,2.9292056074766357,7.197897196261682,-0.6104081358396503,3.226443003723865,-5.459643160577732
1664,4.176907069442706,23.72803738317757,11.687383177570092,-1.9025708130066812,2.3385766243207127,-2.9892163910855727
1670,4.379468032433486,23.153971962616826,12.379205607476637,-1.942207704944316,3.012403787260579,1.2568296189791406
1675,4.5482688349258,23.00677570093458,12.80607476635514,0.3052040679198136,-0.2616034867884161,-0.551985981308413
1680,4.7170696374181205,23.25700934579439,12.29088785046729,-0.436005811314027,-0.3488046490512216,-2.09754672897197
