frame,timestamp,x_cm,y_cm,x_velocity_cm_per_s,y_velocity_cm_per_s
616,8.533333333333335,11.687383177570092,19.842056074766354,-4.45603228547153,-10.718564146134218
622,8.733333333333334,10.524532710280374,17.45747663551402,-4.783878504672913,-9.825350467289752
628,8.933333333333334,9.773831775700934,15.911915887850467,-3.054322429906555,-8.97897196261686
645,9.5,8.228271028037383,7.624766355140187,-0.13247663551401784,-10.465654205607402
650,9.666666666666668,8.714018691588786,6.432476635514019,0.7627442650807132,-6.5033984706881816
656,9.866666666666667,8.507943925233645,5.2401869158878505,-3.4122769753610855,-5.218776550552246
667,10.233333333333334,12.879672897196262,25.317757009345794,-1.140771028037388,-8.905373831775732
673,10.433333333333334,7.006542056074766,0.9567757009345794,0.9634664401019535,2.0875106202208995
684,10.8,13.174065420560748,25.597429906542054,1.2511682242990707,-1.2143691588785142
690,11.0,13.733411214953271,25.597429906542054,2.2480883602378867,1.6860662701784186
695,11.166666666666668,13.998364485981307,26.215654205607475,1.124044180118941,1.846644010195411
701,11.366666666666667,14.14556074766355,26.274532710280372,0.8831775700934574,0.48173322005097674
712,11.733333333333334,8.831775700934578,6.447196261682243,1.2143691588785097,0.0
723,12.100000000000001,15.10233644859813,26.90747663551402,0.16057774001699227,2.649532710280372
729,12.3,14.866822429906541,27.36378504672897,-1.140771028037388,1.4351635514018708
746,12.866666666666667,8.581542056074767,8.228271028037383,-1.5254885301614216,-4.616610025488525
751,13.033333333333335,8.257710280373832,6.815186915887851,-2.2079439252336437,-10.477697536108737
757,13.233333333333334,7.77196261682243,4.386448598130841,-4.1950934579439405,-8.206191588785076
763,13.433333333333334,6.579672897196262,3.5327102803738315,-5.018054375531006,-1.3649107901444342
768,13.600000000000001,5.932009345794392,3.885981308411215,-2.6896771452846178,1.4050552251486823
774,13.8,5.593457943925234,4.047897196261682,-0.9199766355140203,0.9935747663551444
780,14.0,5.564018691588785,4.283411214953271,-0.12043330501274419,1.0036108751061992
785,14.166666666666668,5.549299065420561,4.415887850467289,0.08028887000849613,1.0437553101104473
791,14.366666666666667,5.593457943925234,4.666121495327102,0.12043330501274419,1.0437553101104498
796,14.533333333333335,5.593457943925234,4.798598130841121,-1.5254885301614265,0.6423109600679691
802,14.733333333333334,5.03411214953271,4.901635514018691,-2.2079439252336543,0.5519859813084136
808,14.933333333333334,4.710280373831775,5.019392523364486,-1.2846219201359381,0.6423109600679691
813,15.100000000000001,4.563084112149532,5.13714953271028,-0.9634664401019511,0.20072217502124032
819,15.3,4.357009345794393,5.092990654205607,-0.5519859813084114,0.5519859813084136
825,15.5,4.3422897196261685,5.357943925233645,-1.164188615123194,0.8028887000849613
830,15.666666666666668,3.930140186915888,5.3873831775700936,-2.1677994902293953,0.7225998300764651
836,15.866666666666667,3.547429906542056,5.6228971962616825,-0.32115548003398453,3.492565845369579
841,16.033333333333335,3.8123831775700934,6.6679906542056075,2.0607476635514104,4.26869158878506
848,16.266666666666666,4.371728971962617,7.330373831775701,-0.9199766355140214,3.34871495327104
853,16.433333333333334,3.444392523364486,8.007476635514019,-4.062616822429879,2.605373831775684
858,16.6,3.017523364485981,8.198831775700935,-3.2115548003398438,-1.4853440951571784
864,16.8,2.266822429906542,7.462850467289719,-4.967873831775718,-4.7838785046729155
870,17.0,1.030373831775701,6.2852803738317755,-1.9800271329514654,-2.2934127223394674
895,17.833333333333332,0.22079439252336447,5.092990654205607,-0.5740654205607477,-1.2070093457943925
900,18.0,0.45630841121495325,5.078271028037383,-0.04415887850467253,0.30911214953270827
905,18.166666666666668,0.2060747663551402,5.1960280373831775,-0.5113133300541076,0.7669699950811619
919,18.633333333333333,0.1324766355140187,5.564018691588785,-0.02264557872034512,5.43493889288283
944,19.466666666666665,0.1766355140186916,12.26144859813084,0.6918224299065421,5.564018691588785
949,19.633333333333333,0.8242990654205608,11.12803738317757,5.564018691588745,-9.71495327102797
966,20.200000000000003,2.119626168224299,4.062616822429907,-3.75350467289721,-10.818925233644899
972,20.4,1.1628504672897195,2.2079439252336446,-3.492565845369579,-4.4961767204757805
977,20.56666666666667,0.8390186915887851,2.414018691588785,-1.4853440951571772,1.9269328802039059
983,20.766666666666666,0.6182242990654205,2.914485981308411,-1.2511682242990698,3.017523364485992
989,20.96666666666667,0.3385514018691589,3.6210280373831774,6.957276368491323,-1.58611481975968
1032,22.4,11.981775700934579,0.3238317757009346,0.012266355140186909,3.514310747663554
1067,23.56666666666667,0.36799065420560745,11.5107476635514,1.9503504672897263,-2.2815420560747715
1073,23.766666666666666,1.1481308411214952,11.142757009345795,4.121495327102818,-2.6495327102803805
1079,23.96666666666667,2.016588785046729,10.450934579439252,1.6191588785046787,-3.9007009345794557
1085,24.166666666666664,1.7957943925233644,9.582476635514018,-1.2043330501274414,-4.335598980458791
1090,24.333333333333336,1.575,8.861214953271027,-0.9714953271028008,3.6033644859812983
1110,25.0,0.986214953271028,12.585280373831775,1.3927030913012215,3.3119158878504655
1116,25.200000000000003,2.7820093457943926,11.731542056074765,2.465537383177579,-3.4223130841121594
1122,25.4,1.972429906542056,11.216355140186916,-0.9233220050977055,2.1276550552251474
1127,25.56666666666667,2.4434579439252335,12.511682242990654,7.507009345794418,1.3247663551401891
1138,25.93333333333333,5.976168224299065,11.922897196261681,8.4177862149533,-2.649532710280382
1143,26.1,6.932943925233644,11.098598130841122,3.813721325403564,-2.7298215802888635
1149,26.299999999999997,7.3745327102803735,10.92196261682243,2.448810535259132,-0.8430331350892093
1154,26.46666666666667,7.830841121495327,10.789485981308411,4.134876805437545,-2.5692438402718762
1160,26.666666666666664,8.890654205607476,9.979906542056074,6.101954120645701,-5.018054375531008
1165,26.833333333333336,10.06822429906542,8.949532710280373,5.700509770603225,-5.218776550552243
1171,27.03333333333333,10.980841121495327,8.066355140186916,4.777187765505515,-3.4925658453695765
1176,27.200000000000003,11.819859813084111,7.66892523364486,5.49978759558198,-1.6459218351741707
1182,27.4,12.997429906542056,7.462850467289719,4.817332200509767,-0.8430331350892093
