frame,timestamp,x_cm,y_cm,x_velocity_cm_per_s,y_velocity_cm_per_s
642,0.7242978799216111,22.388551401869158,14.881542056074766,-1.8738323573309084,-1.2380678075222074
655,1.1641979927549144,21.564252336448597,14.336915887850466,-1.0662327511235739,-0.16680328315123405
775,5.224814418908487,17.589953271028037,14.130841121495326,-1.9965941324309415,-1.3132237695782893
972,11.890993051843935,0.14719626168224298,0.2502336448598131,-2.5324566017392924,-1.99194077942929
977,12.06018540293367,0.27967289719626165,0.5151869158878505,6.394452919391782,1.9139859078451593
982,12.229377754023396,2.3109813084112147,0.8978971962616822,12.13641064292726,1.3919897511601158
987,12.39857010511313,4.386448598130841,0.986214953271028,10.091925695910627,-0.43499679723752704
992,12.567762456202864,5.725934579439252,0.7507009345794392,5.002463168231559,-1.5659884700550974
997,12.736954807292598,6.079205607476635,0.45630841121495325,0.0,-1.826986548397652
1002,12.906147158382325,5.725934579439252,0.1324766355140187,7.220946834143104,-1.0004926336463333
1007,13.075339509472059,8.52266355140187,0.11775700934579439,8.917434343369308,0.47849647696127967
1012,13.244531860561793,8.743457943925234,0.29439252336448596,-7.699443311104232,0.6959948755800434
1017,13.413724211651527,5.917289719626168,0.3532710280373832,-8.61293658530322,0.347997437790029
1022,13.582916562741254,5.828971962616822,0.4121495327102804,-0.30449775806627555,0.43499679723753615
1027,13.752108913830988,5.814252336448598,0.5004672897196262,0.30449775806626916,0.4784964769612796
1032,13.921301264920722,5.932009345794392,0.5740654205607476,0.652495195856291,0.04349967972375274
1037,14.090493616010455,6.035046728971962,0.5151869158878505,0.6524951958563048,-0.3914971175137825
1042,14.259685967100182,6.152803738317757,0.44158878504672894,0.739494555303812,-0.47849647696128983
1047,14.428878318189916,6.2852803738317755,0.3532710280373832,0.7394945553037965,-0.30449775806626883
1052,14.59807066927965,6.40303738317757,0.3385514018691589,0.8699935944750548,0.13049903917125805
1057,14.767263020369384,6.579672897196262,0.39742990654205607,0.9134932741988266,0.26099807834252176
1062,14.936455371459111,6.7121495327102805,0.4268691588785047,1.0004926336463313,0.1304990391712608
1067,15.105647722548845,6.91822429906542,0.44158878504672894,1.217991032265074,-0.17399871889501095
1072,15.274840073638579,7.12429906542056,0.36799065420560745,0.652495195856291,-0.17399871889501078
1077,15.444032424728313,7.1390186915887845,0.38271028037383176,0.13049903917126096,0.1739987188950146
1082,15.61322477581804,7.168457943925233,0.4268691588785047,0.04349967972375365,0.21749839861876807
1087,15.782417126907774,7.153738317757009,0.45630841121495325,-0.17399871889501095,0.08699935944750531
1092,15.951609477997508,7.109579439252336,0.45630841121495325,-0.3479974377900219,0.0
